filename,name
iris-simulated-o,iris
wine-simulated-o,wine
parkinsons-simulated-o,parkinsons
prnn-craps-simulated-o,prnn-craps
sonar-simulated-o,sonar
seeds-simulated-o,seeds
glass-simulated-o,glass
vertebra-column-simulated-o,vertebra-column
ecoli-simulated-o,ecoli
ionosphere-simulated-o,ionosphere
user-knowledge-simulated-o,user-knowledge
chscase-vine-simulated-o,chscase-vine
kc2-simulated-o,kc2
breast-cancer-wisconsin-simulated-o,wdbc
balance-scale-simulated-o,balance-scale
blood-transfusion-simulated-o,blood-transfusion
pima-indians-diabetes-simulated-o,pima-indians
vehicle-simulated-o,vehicle
biodegradation-simulated-o,qsar-biodeg
banknote-simulated-o,banknote
steel-plates-fault-simulated-o,steel-plates-fault
segment-simulated-o,segment
phoneme-simulated-o,phoneme
satimage-simulated-o,satimage
wind-simulated-o,wind
