filename,name
iris-simulated-y,iris
wine-simulated-y,wine
parkinsons-simulated-y,parkinsons
prnn-craps-simulated-y,prnn-craps
sonar-simulated-y,sonar
seeds-simulated-y,seeds
glass-simulated-y,glass
vertebra-column-simulated-y,vertebra-column
ecoli-simulated-y,ecoli
ionosphere-simulated-y,ionosphere
user-knowledge-simulated-y,user-knowledge
chscase-vine-simulated-y,chscase-vine
kc2-simulated-y,kc2
breast-cancer-wisconsin-simulated-y,wdbc
balance-scale-simulated-y,balance-scale
blood-transfusion-simulated-y,blood-transfusion
pima-indians-diabetes-simulated-y,pima-indians
vehicle-simulated-y,vehicle
biodegradation-simulated-y,qsar-biodeg
banknote-simulated-y,banknote
steel-plates-fault-simulated-y,steel-plates-fault
segment-simulated-y,segment
phoneme-simulated-y,phoneme
satimage-simulated-y,satimage
wind-simulated-y,wind
